frame,time_seconds,beat_position,bar_position,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture
61,2.44,4.2293,1.0573,broken_beat,0.143215,0.052717,0.436741,0.367327
62,2.48,4.2987,1.0747,broken_beat,0.113999,0.081305,0.604245,0.200451
63,2.52,4.368,1.092,broken_beat,0.088695,0.132324,0.695839,0.083141
64,2.56,4.4373,1.1093,broken_beat,0.069468,0.206915,0.673101,0.050515
65,2.6,4.5067,1.1267,broken_beat,0.058871,0.309499,0.573575,0.058055
66,2.64,4.576,1.144,glassy_arps,0.05088,0.404076,0.40129,0.143753
67,2.68,4.6453,1.1613,glassy_arps,0.042837,0.444253,0.225096,0.287814
68,2.72,4.7147,1.1787,glassy_arps,0.037095,0.453485,0.110367,0.399053
69,2.76,4.784,1.196,granular_texture,0.035337,0.455441,0.052249,0.456973
70,2.8,4.8533,1.2133,glassy_arps,0.039846,0.47333,0.034781,0.452044
71,2.84,4.9227,1.2307,glassy_arps,0.05386,0.52438,0.036037,0.385723
72,2.88,4.992,1.248,glassy_arps,0.082406,0.607755,0.042959,0.26688
73,2.92,5.0613,1.2653,glassy_arps,0.128503,0.679372,0.055882,0.136243
74,2.96,5.1307,1.2827,glassy_arps,0.186061,0.656307,0.091545,0.066086
75,3.0,5.2,1.3,glassy_arps,0.245714,0.518246,0.176385,0.059655
76,3.04,5.2693,1.3173,glassy_arps,0.287003,0.320668,0.301017,0.091311
77,3.08,5.3387,1.3347,broken_beat,0.269476,0.147546,0.368987,0.21399
78,3.12,5.408,1.352,broken_beat,0.237931,0.064574,0.37297,0.324525
79,3.16,5.4773,1.3693,broken_beat,0.233169,0.035477,0.368818,0.362536
80,3.2,5.5467,1.3867,granular_texture,0.25227,0.026529,0.358786,0.362415
81,3.24,5.616,1.404,broken_beat,0.299731,0.026012,0.347431,0.326826
82,3.28,5.6853,1.4213,tension_chords,0.387992,0.02955,0.332965,0.249493
83,3.32,5.7547,1.4387,tension_chords,0.529545,0.036636,0.285232,0.148587
84,3.36,5.824,1.456,tension_chords,0.697583,0.050358,0.183553,0.068505
85,3.4,5.8933,1.4733,tension_chords,0.793784,0.0733,0.088842,0.044074
86,3.44,5.9627,1.4907,tension_chords,0.79629,0.108282,0.048968,0.046461
87,3.48,6.032,1.508,tension_chords,0.713691,0.150023,0.037661,0.098625
88,3.52,6.1013,1.5253,tension_chords,0.56027,0.181543,0.030745,0.227442
89,3.56,6.1707,1.5427,tension_chords,0.420616,0.205073,0.025644,0.348667
90,3.6,6.24,1.56,granular_texture,0.346945,0.246699,0.029322,0.377035
91,3.64,6.3093,1.5773,granular_texture,0.305956,0.30805,0.050057,0.335936
92,3.68,6.3787,1.5947,glassy_arps,0.273556,0.378153,0.096018,0.252272
93,3.72,6.448,1.612,glassy_arps,0.244716,0.439816,0.168177,0.14729
94,3.76,6.5173,1.6293,glassy_arps,0.217683,0.462129,0.256315,0.063872
95,3.8,6.5867,1.6467,glassy_arps,0.193084,0.429947,0.347939,0.02903
96,3.84,6.656,1.664,broken_beat,0.171702,0.363366,0.437833,0.027099
97,3.88,6.7253,1.6813,broken_beat,0.153992,0.293844,0.506364,0.0458
98,3.92,6.7947,1.6987,broken_beat,0.139279,0.234527,0.488796,0.137398
99,3.96,6.864,1.716,granular_texture,0.120494,0.175408,0.351729,0.35237
100,4.0,6.9333,1.7333,granular_texture,0.093184,0.114078,0.188477,0.604261
101,4.04,7.0027,1.7507,granular_texture,0.079146,0.080478,0.103646,0.73673
102,4.08,7.072,1.768,granular_texture,0.083527,0.073983,0.076596,0.765894
103,4.12,7.1413,1.7853,granular_texture,0.103209,0.089779,0.087299,0.719713
104,4.16,7.2107,1.8027,granular_texture,0.148885,0.139597,0.139142,0.572377
105,4.2,7.28,1.82,granular_texture,0.218514,0.216909,0.21733,0.347248
106,4.24,7.3493,1.8373,broken_beat,0.242624,0.247987,0.26561,0.243778
107,4.28,7.4187,1.8547,broken_beat,0.207591,0.238167,0.328285,0.225957
108,4.32,7.488,1.872,broken_beat,0.136225,0.196266,0.366106,0.301402
109,4.36,7.5573,1.8893,granular_texture,0.086951,0.163281,0.360389,0.389379
110,4.4,7.6267,1.9067,granular_texture,0.065192,0.153467,0.352623,0.428718
111,4.44,7.696,1.924,granular_texture,0.058034,0.161097,0.353626,0.427243
112,4.48,7.7653,1.9413,broken_beat,0.064738,0.197235,0.369338,0.368689
113,4.52,7.8347,1.9587,broken_beat,0.090442,0.274542,0.376384,0.258632
114,4.56,7.904,1.976,glassy_arps,0.137792,0.373322,0.33936,0.149527
115,4.6,7.9733,1.9933,glassy_arps,0.204409,0.454812,0.270899,0.06988
116,4.64,8.0427,2.0107,glassy_arps,0.279251,0.495932,0.190084,0.034732
117,4.68,8.112,2.028,glassy_arps,0.349537,0.501191,0.115367,0.033905
118,4.72,8.1813,2.0453,glassy_arps,0.405002,0.474078,0.064561,0.056358
119,4.76,8.2507,2.0627,tension_chords,0.421586,0.396825,0.040162,0.141427
120,4.8,8.32,2.08,tension_chords,0.405092,0.293926,0.032355,0.268627
121,4.84,8.3893,2.0973,tension_chords,0.384453,0.202658,0.029357,0.383532
122,4.88,8.4587,2.1147,granular_texture,0.375019,0.134621,0.028316,0.462044
123,4.92,8.528,2.132,granular_texture,0.39758,0.091868,0.036843,0.473709
124,4.96,8.5973,2.1493,tension_chords,0.485639,0.07069,0.078971,0.364699
125,5.0,8.6667,2.1667,tension_chords,0.572822,0.055823,0.191732,0.179623
126,5.04,8.736,2.184,tension_chords,0.543456,0.041955,0.352915,0.061675
127,5.08,8.8053,2.2013,broken_beat,0.461621,0.033938,0.470537,0.033904
128,5.12,8.8747,2.2187,broken_beat,0.416187,0.031787,0.516165,0.035861
129,5.16,8.944,2.236,broken_beat,0.38965,0.032211,0.497545,0.080594
130,5.2,9.0133,2.2533,broken_beat,0.351493,0.036421,0.425547,0.186539
131,5.24,9.0827,2.2707,broken_beat,0.308025,0.051517,0.325537,0.314921
132,5.28,9.152,2.288,granular_texture,0.272967,0.086899,0.225047,0.415087
133,5.32,9.2213,2.3053,granular_texture,0.248299,0.147771,0.140701,0.463229
134,5.36,9.2907,2.3227,granular_texture,0.234346,0.234872,0.083121,0.447661
135,5.4,9.36,2.34,glassy_arps,0.241219,0.372034,0.057448,0.329299
136,5.44,9.4293,2.3573,glassy_arps,0.244248,0.553644,0.053888,0.14822
137,5.48,9.4987,2.3747,glassy_arps,0.207561,0.675448,0.055036,0.061956
138,5.52,9.568,2.392,glassy_arps,0.160722,0.730735,0.054199,0.054345
139,5.56,9.6373,2.4093,glassy_arps,0.120837,0.737231,0.058193,0.083739
140,5.6,9.7067,2.4267,glassy_arps,0.083047,0.643604,0.084299,0.189049
141,5.64,9.776,2.444,glassy_arps,0.053306,0.487371,0.145887,0.313436
142,5.68,9.8453,2.4613,granular_texture,0.036369,0.353327,0.221318,0.388987
143,5.72,9.9147,2.4787,granular_texture,0.029784,0.266572,0.293358,0.410286
144,5.76,9.984,2.496,granular_texture,0.029773,0.210367,0.3755,0.384359
145,5.8,10.0533,2.5133,broken_beat,0.034171,0.16989,0.476289,0.319649
146,5.84,10.1227,2.5307,broken_beat,0.046591,0.14285,0.59712,0.213439
147,5.88,10.192,2.548,broken_beat,0.074181,0.124373,0.701921,0.099526
148,5.92,10.2613,2.5653,broken_beat,0.12156,0.109214,0.693453,0.075774
149,5.96,10.3307,2.5827,broken_beat,0.201051,0.108179,0.579139,0.111632
150,6.0,10.4,2.6,broken_beat,0.275983,0.104917,0.346807,0.272293
151,6.04,10.4693,2.6173,granular_texture,0.275103,0.081256,0.144084,0.499557
152,6.08,10.5387,2.6347,granular_texture,0.249853,0.059813,0.066811,0.623523
153,6.12,10.608,2.652,granular_texture,0.248169,0.05583,0.04747,0.648531
154,6.16,10.6773,2.6693,granular_texture,0.280262,0.072257,0.044142,0.603339
155,6.2,10.7467,2.6867,granular_texture,0.347739,0.114621,0.047938,0.489702
156,6.24,10.816,2.704,tension_chords,0.430142,0.18601,0.069994,0.313853
157,6.28,10.8853,2.7213,tension_chords,0.474654,0.264622,0.124055,0.13667
158,6.32,10.9547,2.7387,tension_chords,0.451027,0.311698,0.189939,0.047336
159,6.36,11.024,2.756,tension_chords,0.396231,0.32362,0.246637,0.033512
160,6.4,11.0933,2.7733,tension_chords,0.347334,0.319239,0.287422,0.046005
161,6.44,11.1627,2.7907,tension_chords,0.305085,0.300862,0.297645,0.096408
162,6.48,11.232,2.808,broken_beat,0.27495,0.277782,0.279468,0.167799
163,6.52,11.3013,2.8253,tension_chords,0.262478,0.259565,0.245394,0.232562
164,6.56,11.3707,2.8427,tension_chords,0.272086,0.251517,0.205755,0.270642
165,6.6,11.44,2.86,tension_chords,0.309388,0.255001,0.165292,0.270318
166,6.64,11.5093,2.8773,tension_chords,0.38147,0.267145,0.125722,0.225663
167,6.68,11.5787,2.8947,tension_chords,0.487006,0.276411,0.089978,0.146604
168,6.72,11.648,2.912,tension_chords,0.597549,0.262607,0.06518,0.074663
169,6.76,11.7173,2.9293,tension_chords,0.671324,0.216925,0.056998,0.054754
170,6.8,11.7867,2.9467,tension_chords,0.708218,0.158003,0.060706,0.073074
171,6.84,11.856,2.964,tension_chords,0.660218,0.099666,0.061176,0.178939
172,6.88,11.9253,2.9813,tension_chords,0.525434,0.062239,0.061178,0.351149
173,6.92,11.9947,2.9987,granular_texture,0.378575,0.04638,0.079039,0.496006
174,6.96,12.064,3.016,granular_texture,0.26986,0.040619,0.129709,0.559812
175,7.0,12.1333,3.0333,granular_texture,0.200439,0.039859,0.224941,0.534762
176,7.04,12.2027,3.0507,granular_texture,0.156285,0.046721,0.370419,0.426575
177,7.08,12.272,3.068,broken_beat,0.124685,0.067817,0.544082,0.263416
178,7.12,12.3413,3.0853,broken_beat,0.09793,0.109958,0.674183,0.117928
179,7.16,12.4107,3.1027,broken_beat,0.07589,0.175256,0.693753,0.055101
180,7.2,12.48,3.12,broken_beat,0.062105,0.267054,0.619493,0.051348
181,7.24,12.5493,3.1373,broken_beat,0.054107,0.373581,0.474579,0.097733
182,7.28,12.6187,3.1547,glassy_arps,0.045706,0.434164,0.28661,0.233521
183,7.32,12.688,3.172,glassy_arps,0.03897,0.452003,0.147119,0.361908
184,7.36,12.7573,3.1893,glassy_arps,0.035397,0.454042,0.068712,0.44185
185,7.4,12.8267,3.2067,glassy_arps,0.037206,0.463233,0.038114,0.461447
186,7.44,12.896,3.224,glassy_arps,0.047052,0.500253,0.034492,0.418203
187,7.48,12.9653,3.2413,glassy_arps,0.069377,0.573366,0.039889,0.317368
188,7.52,13.0347,3.2587,glassy_arps,0.108851,0.658473,0.049556,0.183121
189,7.56,13.104,3.276,glassy_arps,0.163282,0.680382,0.073379,0.082956
190,7.6,13.1733,3.2933,glassy_arps,0.222832,0.581319,0.136677,0.059171
191,7.64,13.2427,3.3107,glassy_arps,0.276871,0.400087,0.253606,0.069435
192,7.68,13.312,3.328,broken_beat,0.282192,0.20415,0.354181,0.159476
193,7.72,13.3813,3.3453,broken_beat,0.247438,0.087242,0.373925,0.291395
194,7.76,13.4507,3.3627,broken_beat,0.231922,0.043138,0.370864,0.354077
195,7.8,13.52,3.38,granular_texture,0.242101,0.028593,0.363273,0.366033
196,7.84,13.5893,3.3973,broken_beat,0.27741,0.025571,0.35155,0.345469
197,7.88,13.6587,3.4147,tension_chords,0.348274,0.027848,0.34018,0.283697
198,7.92,13.728,3.432,tension_chords,0.468694,0.033327,0.310185,0.187794
199,7.96,13.7973,3.4493,tension_chords,0.635546,0.044088,0.226868,0.093499
200,8.0,13.8667,3.4667,tension_chords,0.769951,0.063254,0.119143,0.047652
201,8.04,13.936,3.484,tension_chords,0.804516,0.093326,0.058894,0.043263
202,8.08,14.0053,3.5013,tension_chords,0.756044,0.134201,0.040684,0.069071
203,8.12,14.0747,3.5187,tension_chords,0.623539,0.171424,0.033441,0.171596
204,8.16,14.144,3.536,tension_chords,0.466703,0.195143,0.026984,0.311171
205,8.2,14.2133,3.5533,granular_texture,0.368966,0.227756,0.026378,0.376899
206,8.24,14.2827,3.5707,granular_texture,0.32014,0.282894,0.039478,0.357488
207,8.28,14.352,3.588,glassy_arps,0.285416,0.350845,0.075038,0.288701
208,8.32,14.4213,3.6053,glassy_arps,0.255573,0.418998,0.137778,0.187652
209,8.36,14.4907,3.6227,glassy_arps,0.22784,0.459925,0.221433,0.090802
210,8.4,14.56,3.64,glassy_arps,0.20222,0.448211,0.312797,0.036772
211,8.44,14.6293,3.6573,broken_beat,0.179416,0.390633,0.403589,0.026362
212,8.48,14.6987,3.6747,broken_beat,0.160477,0.319783,0.486286,0.033453
213,8.52,14.768,3.692,broken_beat,0.144686,0.256144,0.509736,0.089434
214,8.56,14.8373,3.7093,broken_beat,0.129153,0.199455,0.416043,0.255349
215,8.6,14.9067,3.7267,granular_texture,0.103405,0.135736,0.24425,0.516609
216,8.64,14.976,3.744,granular_texture,0.082066,0.089509,0.127141,0.701284
217,8.68,15.0453,3.7613,granular_texture,0.080092,0.07398,0.082268,0.76366
218,8.72,15.1147,3.7787,granular_texture,0.093436,0.080567,0.078646,0.74735
219,8.76,15.184,3.796,granular_texture,0.127285,0.115504,0.114153,0.643058
220,8.8,15.2533,3.8133,granular_texture,0.192054,0.187871,0.187878,0.432197
221,8.84,15.3227,3.8307,granular_texture,0.242828,0.244276,0.250595,0.262301
222,8.88,15.392,3.848,broken_beat,0.226769,0.245307,0.300628,0.227296
223,8.92,15.4613,3.8653,broken_beat,0.163856,0.214131,0.359384,0.26263
224,8.96,15.5307,3.8827,broken_beat,0.10177,0.172892,0.36426,0.361078
225,9.0,15.6,3.9,granular_texture,0.071362,0.155067,0.354871,0.4187
226,9.04,15.6693,3.9173,granular_texture,0.059359,0.155828,0.351706,0.433107
227,9.08,15.7387,3.9347,granular_texture,0.060193,0.178697,0.361947,0.399163
228,9.12,15.808,3.952,broken_beat,0.07804,0.240337,0.37783,0.303793
229,9.16,15.8773,3.9693,broken_beat,0.117031,0.335338,0.358809,0.188822
230,9.2,15.9467,3.9867,glassy_arps,0.176986,0.427564,0.299427,0.096023
231,9.24,16.016,4.004,glassy_arps,0.250523,0.485209,0.221703,0.042565
232,9.28,16.0853,4.0213,glassy_arps,0.323269,0.502178,0.141857,0.032697
233,9.32,16.1547,4.0387,glassy_arps,0.387158,0.490036,0.08085,0.041956
234,9.36,16.224,4.056,glassy_arps,0.420412,0.431927,0.046813,0.100849
235,9.4,16.2933,4.0733,tension_chords,0.413443,0.33368,0.034302,0.218576
236,9.44,16.3627,4.0907,tension_chords,0.391508,0.235148,0.030334,0.343011
237,9.48,16.432,4.108,granular_texture,0.376712,0.157947,0.028272,0.437069
238,9.52,16.5013,4.1253,granular_texture,0.38237,0.105222,0.031376,0.481031
239,9.56,16.5707,4.1427,tension_chords,0.444573,0.077188,0.056302,0.421938
240,9.6,16.64,4.16,tension_chords,0.549486,0.061582,0.138909,0.250022
241,9.64,16.7093,4.1773,tension_chords,0.56815,0.046819,0.291159,0.093871
242,9.68,16.7787,4.1947,tension_chords,0.491266,0.036197,0.434416,0.038122
243,9.72,16.848,4.212,broken_beat,0.42885,0.032153,0.506379,0.032618
244,9.76,16.9173,4.2293,broken_beat,0.400421,0.031815,0.511944,0.05582
245,9.8,16.9867,4.2467,broken_beat,0.367728,0.034002,0.458201,0.140069
246,9.84,17.056,4.264,broken_beat,0.324275,0.043815,0.36538,0.266531
247,9.88,17.1253,4.2813,granular_texture,0.285083,0.070368,0.26244,0.382109
248,9.92,17.1947,4.2987,granular_texture,0.256775,0.121398,0.170542,0.451284
249,9.96,17.264,4.316,granular_texture,0.237791,0.19756,0.101481,0.463169
