frame,time_seconds,beat_position,bar_position,section,energy,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture,temperature,top_k,cfg_musiccoca,cfg_notes,cfg_drums,drum_gate
45,1.8,3.12,0.78,intro,0.122565,tension_chords,0.320711,0.209104,0.173418,0.296768,0.812,59,2.268,0.6741,0.8358,0
46,1.84,3.1893,0.7973,intro,0.122677,granular_texture,0.299943,0.204943,0.181779,0.313336,0.814,59,2.2622,0.6467,0.8639,0
47,1.88,3.2587,0.8147,intro,0.122792,granular_texture,0.285993,0.197221,0.17315,0.343636,0.8177,58,2.2885,0.6265,0.8351,0
48,1.92,3.328,0.832,intro,0.122908,granular_texture,0.283727,0.190126,0.152477,0.37367,0.8214,58,2.3146,0.6212,0.766,0
49,1.96,3.3973,0.8493,intro,0.123027,granular_texture,0.296204,0.185722,0.12546,0.392613,0.8237,58,2.3312,0.6353,0.6756,0
50,2.0,3.4667,0.8667,intro,0.123148,granular_texture,0.324107,0.183268,0.096712,0.395914,0.8242,58,2.3345,0.6693,0.5794,0
51,2.04,3.536,0.884,intro,0.123271,granular_texture,0.36354,0.179237,0.070729,0.386493,0.8231,58,2.3271,0.7172,0.4925,0
52,2.08,3.6053,0.9013,intro,0.123397,tension_chords,0.402986,0.168751,0.05232,0.375943,0.8219,57,2.3417,0.7628,0.431,0
53,2.12,3.6747,0.9187,intro,0.123525,tension_chords,0.428571,0.150237,0.043802,0.37739,0.8221,57,2.364,0.7883,0.4026,0
54,2.16,3.744,0.936,intro,0.123655,tension_chords,0.438599,0.128213,0.042502,0.390686,0.8238,56,2.3731,0.7931,0.3984,0
55,2.2,3.8133,0.9533,intro,0.123787,tension_chords,0.434889,0.106853,0.043077,0.415182,0.8268,55,2.3705,0.781,0.4005,0
56,2.24,3.8827,0.9707,intro,0.123921,granular_texture,0.407918,0.088143,0.042602,0.461337,0.8324,54,2.3936,0.7407,0.399,0
57,2.28,3.952,0.988,intro,0.124058,granular_texture,0.367047,0.076721,0.046403,0.509828,0.8382,54,2.4354,0.6857,0.4119,0
58,2.32,4.0213,1.0053,intro,0.124196,granular_texture,0.322357,0.071191,0.060937,0.545514,0.8426,53,2.4664,0.6279,0.4608,0
59,2.36,4.0907,1.0227,intro,0.124337,granular_texture,0.285271,0.068942,0.091482,0.554305,0.8437,53,2.4745,0.5807,0.5632,0
60,2.4,4.16,1.04,intro,0.12448,granular_texture,0.260718,0.070244,0.139507,0.52953,0.8408,53,2.454,0.5505,0.7243,0
61,2.44,4.2293,1.0573,intro,0.124625,granular_texture,0.246817,0.077134,0.198179,0.47787,0.8347,54,2.4108,0.5355,0.921,0
62,2.48,4.2987,1.0747,intro,0.124772,granular_texture,0.238547,0.091216,0.250372,0.419865,0.8278,54,2.3621,0.5301,1.096,0
63,2.52,4.368,1.092,intro,0.124922,granular_texture,0.231361,0.113018,0.274927,0.380695,0.8231,55,2.3295,0.5288,1.1784,0
64,2.56,4.4373,1.1093,intro,0.125073,granular_texture,0.224906,0.142331,0.262489,0.370274,0.822,56,2.3213,0.5309,1.1369,0
65,2.6,4.5067,1.1267,intro,0.125226,granular_texture,0.222088,0.179217,0.221546,0.37715,0.8229,58,2.3278,0.5403,0.9999,0
66,2.64,4.576,1.144,intro,0.125382,granular_texture,0.21553,0.213984,0.161435,0.409051,0.8268,60,2.3556,0.5443,0.7987,0
67,2.68,4.6453,1.1613,intro,0.12554,granular_texture,0.20123,0.234993,0.102476,0.461301,0.8331,60,2.4008,0.5338,0.6014,0
68,2.72,4.7147,1.1787,intro,0.1257,granular_texture,0.190128,0.249248,0.063271,0.497353,0.8375,61,2.4321,0.5249,0.4702,0
69,2.76,4.784,1.196,intro,0.125861,granular_texture,0.185314,0.25919,0.042067,0.513428,0.8395,62,2.4465,0.5224,0.3994,0
70,2.8,4.8533,1.2133,intro,0.126025,granular_texture,0.188802,0.267357,0.034844,0.508998,0.8391,62,2.4435,0.5296,0.3754,0
71,2.84,4.9227,1.2307,intro,0.126191,granular_texture,0.203347,0.277861,0.035515,0.483278,0.836,62,2.4223,0.5514,0.3778,0
72,2.88,4.992,1.248,intro,0.126359,granular_texture,0.227865,0.289187,0.038287,0.44466,0.8315,63,2.3903,0.586,0.3873,0
73,2.92,5.0613,1.2653,intro,0.126529,granular_texture,0.255803,0.292115,0.043089,0.408994,0.8273,63,2.3607,0.622,0.4035,0
74,2.96,5.1307,1.2827,intro,0.126701,granular_texture,0.279221,0.273631,0.055768,0.391381,0.8252,62,2.3465,0.6448,0.4462,0
75,3.0,5.2,1.3,intro,0.126875,granular_texture,0.297238,0.230119,0.084274,0.388369,0.825,60,2.3447,0.6521,0.5419,0
76,3.04,5.2693,1.3173,intro,0.127051,granular_texture,0.308044,0.171821,0.128703,0.391432,0.8254,58,2.3481,0.6452,0.6909,0
77,3.08,5.3387,1.3347,intro,0.127229,granular_texture,0.29901,0.115684,0.170717,0.414589,0.8283,56,2.3686,0.6143,0.8319,0
78,3.12,5.408,1.352,intro,0.127409,granular_texture,0.27743,0.078084,0.192717,0.45177,0.8328,54,2.401,0.5741,0.9058,0
79,3.16,5.4773,1.3693,intro,0.127591,granular_texture,0.27127,0.061093,0.202544,0.465092,0.8345,53,2.4131,0.5605,0.9389,0
80,3.2,5.5467,1.3867,intro,0.127775,granular_texture,0.284788,0.056114,0.202406,0.456692,0.8336,53,2.4068,0.5756,0.9386,0
81,3.24,5.616,1.404,intro,0.127961,granular_texture,0.31353,0.057104,0.18975,0.439617,0.8316,53,2.3931,0.6119,0.8964,0
82,3.28,5.6853,1.4213,intro,0.128148,granular_texture,0.358719,0.061335,0.16863,0.411316,0.8283,54,2.3699,0.6699,0.8259,0
83,3.32,5.7547,1.4387,intro,0.128338,tension_chords,0.415874,0.06758,0.137563,0.378983,0.8245,54,2.3746,0.7435,0.722,0
84,3.36,5.824,1.456,intro,0.12853,tension_chords,0.471186,0.076458,0.093816,0.35854,0.8221,54,2.4225,0.8157,0.5757,0
85,3.4,5.8933,1.4733,intro,0.128724,tension_chords,0.503638,0.088474,0.056165,0.351723,0.8214,55,2.4509,0.8605,0.4497,0
86,3.44,5.9627,1.4907,intro,0.128919,tension_chords,0.507862,0.105077,0.040049,0.347011,0.8209,55,2.4554,0.8716,0.396,0
87,3.48,6.032,1.508,intro,0.129116,tension_chords,0.482171,0.125033,0.035494,0.357302,0.8223,56,2.4344,0.8465,0.3809,0
88,3.52,6.1013,1.5253,intro,0.129316,tension_chords,0.429284,0.143865,0.032557,0.394294,0.8268,57,2.3903,0.787,0.3713,0
89,3.56,6.1707,1.5427,intro,0.129517,granular_texture,0.36494,0.158344,0.029697,0.447019,0.8332,58,2.4063,0.7116,0.362,0
90,3.6,6.24,1.56,intro,0.12972,granular_texture,0.321678,0.177533,0.031936,0.468853,0.8359,59,2.4258,0.6642,0.3697,0
91,3.64,6.3093,1.5773,intro,0.129925,granular_texture,0.304163,0.208612,0.045509,0.441716,0.8328,60,2.4036,0.6532,0.4154,0
92,3.68,6.3787,1.5947,intro,0.130132,granular_texture,0.29117,0.243437,0.073442,0.391951,0.8269,61,2.3622,0.6492,0.5092,0
93,3.72,6.448,1.612,intro,0.13034,granular_texture,0.276752,0.274208,0.113681,0.335359,0.8202,63,2.3151,0.6419,0.6442,0
94,3.76,6.5173,1.6293,intro,0.130551,granular_texture,0.262292,0.288014,0.158347,0.291347,0.815,63,2.2786,0.6287,0.7941,0
95,3.8,6.5867,1.6467,intro,0.130763,granular_texture,0.250812,0.274058,0.198625,0.276505,0.8133,63,2.2669,0.6094,0.9292,0
96,3.84,6.656,1.664,intro,0.130977,granular_texture,0.244351,0.239061,0.230789,0.285799,0.8145,61,2.2758,0.5891,1.0372,0
97,3.88,6.7253,1.6813,intro,0.131193,granular_texture,0.240041,0.197998,0.250593,0.311369,0.8177,60,2.2985,0.5694,1.1038,0
98,3.92,6.7947,1.6987,intro,0.131411,granular_texture,0.234522,0.160518,0.237311,0.367648,0.8246,58,2.3473,0.5493,1.0595,0
99,3.96,6.864,1.716,intro,0.131631,granular_texture,0.230037,0.130601,0.177803,0.461559,0.8359,57,2.4281,0.5333,0.8604,0
100,4.0,6.9333,1.7333,intro,0.131852,granular_texture,0.220424,0.104411,0.105225,0.56994,0.849,56,2.5212,0.5121,0.6175,0
101,4.04,7.0027,1.7507,intro,0.132075,granular_texture,0.213596,0.086497,0.061596,0.63831,0.8574,55,2.5803,0.4973,0.4716,0
102,4.08,7.072,1.768,intro,0.1323,granular_texture,0.23002,0.083735,0.047353,0.638892,0.8575,55,2.5818,0.5168,0.4242,0
103,4.12,7.1413,1.7853,intro,0.132526,granular_texture,0.259176,0.090102,0.047694,0.603028,0.8533,55,2.5523,0.5555,0.4256,0
104,4.16,7.2107,1.8027,intro,0.132755,granular_texture,0.286081,0.099037,0.052602,0.562279,0.8485,56,2.5187,0.5923,0.4422,0
105,4.2,7.28,1.82,intro,0.132985,granular_texture,0.303773,0.105686,0.056285,0.534256,0.8453,56,2.4959,0.6167,0.4548,0
106,4.24,7.3493,1.8373,intro,0.133217,granular_texture,0.307188,0.108317,0.060424,0.52407,0.8442,56,2.4883,0.6219,0.469,0
107,4.28,7.4187,1.8547,intro,0.13345,granular_texture,0.299681,0.111683,0.074966,0.513671,0.843,56,2.4805,0.6137,0.5179,0
108,4.32,7.488,1.872,intro,0.133686,granular_texture,0.2756,0.115494,0.104142,0.504765,0.8421,57,2.474,0.5849,0.6159,0
109,4.36,7.5573,1.8893,intro,0.133923,granular_texture,0.240055,0.119543,0.140048,0.500354,0.8416,57,2.4713,0.5419,0.7365,0
110,4.4,7.6267,1.9067,intro,0.134161,granular_texture,0.207798,0.126863,0.173665,0.491674,0.8407,57,2.4649,0.5041,0.8494,0
111,4.44,7.696,1.924,intro,0.134402,granular_texture,0.184597,0.139616,0.202721,0.473066,0.8386,58,2.4502,0.4796,0.947,0
112,4.48,7.7653,1.9413,intro,0.134644,granular_texture,0.173542,0.160959,0.225731,0.439768,0.8347,59,2.423,0.4733,1.0243,0
113,4.52,7.8347,1.9587,intro,0.134888,granular_texture,0.185334,0.200148,0.233025,0.381492,0.8278,60,2.3745,0.5017,1.049,0
114,4.56,7.904,1.976,intro,0.135133,granular_texture,0.21995,0.250044,0.205402,0.324604,0.8211,63,2.3273,0.5625,0.9567,0
115,4.6,7.9733,1.9933,intro,0.13538,granular_texture,0.264404,0.283464,0.154339,0.297793,0.818,64,2.3056,0.6297,0.786,0
116,4.64,8.0427,2.0107,intro,0.135629,tension_chords,0.306756,0.290041,0.105783,0.29742,0.8181,64,2.3143,0.685,0.6236,0
117,4.68,8.112,2.028,intro,0.135879,tension_chords,0.340674,0.279855,0.068775,0.310695,0.8198,64,2.3442,0.7238,0.4999,0
118,4.72,8.1813,2.0453,intro,0.136131,tension_chords,0.362531,0.25923,0.046144,0.332096,0.8225,63,2.3639,0.7439,0.4243,0
119,4.76,8.2507,2.0627,intro,0.136385,granular_texture,0.366472,0.225424,0.03604,0.372064,0.8274,62,2.3732,0.737,0.3908,0
120,4.8,8.32,2.08,intro,0.13664,granular_texture,0.359097,0.184704,0.032878,0.423322,0.8337,60,2.4179,0.7135,0.3804,0
121,4.84,8.3893,2.0973,intro,0.136897,granular_texture,0.353166,0.146893,0.031742,0.468199,0.8392,58,2.4572,0.6929,0.3769,0
122,4.88,8.4587,2.1147,intro,0.137155,granular_texture,0.355631,0.116642,0.032066,0.495662,0.8426,57,2.4817,0.6854,0.3783,0
123,4.92,8.528,2.132,intro,0.137415,granular_texture,0.366006,0.094321,0.03782,0.501853,0.8434,56,2.4881,0.6905,0.3979,0
124,4.96,8.5973,2.1493,intro,0.137677,granular_texture,0.391036,0.081553,0.058056,0.469356,0.8397,56,2.4616,0.7173,0.4659,0
125,5.0,8.6667,2.1667,intro,0.13794,tension_chords,0.419893,0.075578,0.103537,0.400992,0.8316,56,2.4207,0.7513,0.6186,0
126,5.04,8.736,2.184,intro,0.138204,tension_chords,0.41304,0.069489,0.173568,0.343902,0.8248,55,2.4161,0.7406,0.8535,0
127,5.08,8.8053,2.2013,intro,0.138471,tension_chords,0.379386,0.063535,0.245786,0.311293,0.8211,55,2.3887,0.6965,1.0957,0
128,5.12,8.8747,2.2187,intro,0.138738,tension_chords,0.355022,0.060885,0.282007,0.302085,0.8201,55,2.3692,0.6651,1.2173,0
129,5.16,8.944,2.236,intro,0.139008,tension_chords,0.342646,0.06151,0.267716,0.328128,0.8233,55,2.3598,0.6498,1.1698,0
130,5.2,9.0133,2.2533,intro,0.139279,granular_texture,0.327257,0.065328,0.225169,0.382247,0.8299,55,2.3947,0.6319,1.0275,0
131,5.24,9.0827,2.2707,intro,0.139551,granular_texture,0.308058,0.075737,0.174445,0.44176,0.8372,56,2.4465,0.6116,0.8579,0
132,5.28,9.152,2.288,intro,0.139825,granular_texture,0.29239,0.098313,0.124626,0.484671,0.8425,57,2.4842,0.5999,0.6913,0
133,5.32,9.2213,2.3053,intro,0.1401,granular_texture,0.28337,0.135034,0.083102,0.498493,0.8443,58,2.4972,0.6015,0.5525,0
134,5.36,9.2907,2.3227,intro,0.140377,granular_texture,0.279485,0.179613,0.05513,0.485772,0.8429,60,2.4876,0.6122,0.4591,0
135,5.4,9.36,2.34,intro,0.140655,granular_texture,0.280628,0.225691,0.042209,0.451472,0.8389,62,2.4597,0.6298,0.4161,0
136,5.44,9.4293,2.3573,intro,0.140935,granular_texture,0.283791,0.271753,0.040242,0.404215,0.8333,64,2.4207,0.6499,0.4098,0
137,5.48,9.4987,2.3747,intro,0.141216,granular_texture,0.274617,0.304375,0.040936,0.380072,0.8306,66,2.4015,0.6498,0.4125,0
138,5.52,9.568,2.392,intro,0.141499,granular_texture,0.259043,0.322252,0.041023,0.377681,0.8304,66,2.4007,0.6366,0.4131,0
139,5.56,9.6373,2.4093,intro,0.141783,granular_texture,0.242768,0.32491,0.043511,0.388811,0.8319,67,2.4114,0.6172,0.4217,0
140,5.6,9.7067,2.4267,intro,0.142068,granular_texture,0.221029,0.302547,0.056139,0.420285,0.8358,66,2.4394,0.5822,0.4643,0
141,5.64,9.776,2.444,intro,0.142355,granular_texture,0.19586,0.259688,0.089343,0.45511,0.8401,64,2.4703,0.5357,0.5759,0
142,5.68,9.8453,2.4613,intro,0.142643,granular_texture,0.175126,0.21274,0.139255,0.47288,0.8424,62,2.4867,0.4934,0.7434,0
143,5.72,9.9147,2.4787,intro,0.142933,granular_texture,0.166646,0.175594,0.184201,0.473559,0.8426,61,2.4886,0.4698,0.8943,0
144,5.76,9.984,2.496,intro,0.143224,granular_texture,0.171326,0.149205,0.219365,0.460104,0.8411,59,2.4784,0.4664,1.0124,0
145,5.8,10.0533,2.5133,intro,0.143517,granular_texture,0.185584,0.129011,0.250079,0.435327,0.8383,59,2.4587,0.4771,1.1156,0
146,5.84,10.1227,2.5307,intro,0.143811,granular_texture,0.208052,0.113262,0.267151,0.411535,0.8355,58,2.4398,0.4997,1.1731,0
147,5.88,10.192,2.548,intro,0.144106,granular_texture,0.237847,0.102535,0.257013,0.402605,0.8346,58,2.4335,0.5332,1.1395,0
148,5.92,10.2613,2.5653,intro,0.144403,granular_texture,0.268267,0.095874,0.213414,0.422446,0.8371,57,2.4517,0.5689,0.9938,0
149,5.96,10.3307,2.5827,intro,0.144701,granular_texture,0.297601,0.093829,0.153625,0.454944,0.8412,57,2.4806,0.6048,0.7938,0
150,6.0,10.4,2.6,intro,0.145,granular_texture,0.313575,0.091558,0.09674,0.498128,0.8465,57,2.5187,0.624,0.6036,0
151,6.04,10.4693,2.6173,intro,0.145301,granular_texture,0.310122,0.085266,0.059439,0.545173,0.8523,57,2.56,0.6175,0.479,0
152,6.08,10.5387,2.6347,intro,0.145603,granular_texture,0.299858,0.078588,0.043148,0.578406,0.8564,57,2.5896,0.6023,0.4247,0
153,6.12,10.608,2.652,intro,0.145906,granular_texture,0.297514,0.078734,0.038232,0.58552,0.8574,57,2.597,0.5994,0.4086,0
154,6.16,10.6773,2.6693,intro,0.146211,granular_texture,0.310084,0.089016,0.037271,0.56363,0.8549,57,2.5797,0.6188,0.4057,0
155,6.2,10.7467,2.6867,intro,0.146516,granular_texture,0.336348,0.109789,0.039071,0.514791,0.8492,58,2.5396,0.6589,0.4121,0
156,6.24,10.816,2.704,intro,0.146824,granular_texture,0.364496,0.138815,0.049815,0.446874,0.8412,60,2.4832,0.7042,0.4484,0
157,6.28,10.8853,2.7213,intro,0.147132,granular_texture,0.376617,0.16876,0.076291,0.378332,0.8331,61,2.4263,0.7298,0.5374,0
158,6.32,10.9547,2.7387,intro,0.147442,tension_chords,0.368552,0.192239,0.110489,0.32872,0.8273,62,2.4194,0.728,0.6523,0
159,6.36,11.024,2.756,intro,0.147753,tension_chords,0.349988,0.207163,0.144095,0.298754,0.8238,63,2.405,0.71,0.7652,0
160,6.4,11.0933,2.7733,intro,0.148065,tension_chords,0.328057,0.213118,0.172048,0.286777,0.8225,63,2.3877,0.6847,0.8592,0
161,6.44,11.1627,2.7907,intro,0.148379,tension_chords,0.305835,0.210192,0.185225,0.298748,0.8241,63,2.3702,0.6559,0.9037,0
162,6.48,11.232,2.808,intro,0.148693,granular_texture,0.289037,0.202335,0.180504,0.328123,0.8278,63,2.3906,0.6321,0.8883,0
163,6.52,11.3013,2.8253,intro,0.149009,granular_texture,0.282758,0.194043,0.161781,0.361419,0.8319,62,2.4203,0.6214,0.8259,0
164,6.56,11.3707,2.8427,intro,0.149327,granular_texture,0.290753,0.188247,0.135157,0.385843,0.835,62,2.4425,0.6293,0.737,0
165,6.6,11.44,2.86,intro,0.149645,granular_texture,0.314692,0.185084,0.105653,0.39457,0.8362,62,2.4513,0.6581,0.6385,0
166,6.64,11.5093,2.8773,intro,0.149965,granular_texture,0.352622,0.181773,0.07771,0.387895,0.8355,62,2.4471,0.7044,0.5453,0
167,6.68,11.5787,2.8947,intro,0.150285,tension_chords,0.395263,0.173303,0.056235,0.375199,0.8342,62,2.4547,0.7547,0.4737,0
168,6.72,11.648,2.912,intro,0.150607,tension_chords,0.427227,0.156329,0.044803,0.371641,0.8339,61,2.4833,0.7887,0.4358,0
169,6.76,11.7173,2.9293,intro,0.150931,tension_chords,0.4412,0.133922,0.042001,0.382877,0.8354,60,2.4967,0.7984,0.4267,0
170,6.8,11.7867,2.9467,intro,0.151255,tension_chords,0.442478,0.11204,0.042747,0.402736,0.8379,59,2.4992,0.7923,0.4296,0
171,6.84,11.856,2.964,intro,0.15158,granular_texture,0.419848,0.091755,0.042288,0.446109,0.8433,58,2.5037,0.7569,0.4284,0
172,6.88,11.9253,2.9813,intro,0.151907,granular_texture,0.379333,0.078019,0.044434,0.498214,0.8497,58,2.5495,0.7015,0.436,0
173,6.92,11.9947,2.9987,intro,0.152235,granular_texture,0.332516,0.071073,0.056295,0.540116,0.8548,58,2.5865,0.6405,0.476,0
174,6.96,12.064,3.016,intro,0.152564,granular_texture,0.290727,0.067854,0.083362,0.558057,0.8571,57,2.6033,0.5872,0.5671,0
175,7.0,12.1333,3.0333,intro,0.152894,granular_texture,0.261415,0.067924,0.1287,0.541962,0.8554,57,2.591,0.5505,0.7193,0
176,7.04,12.2027,3.0507,intro,0.153225,granular_texture,0.244238,0.073434,0.188098,0.49423,0.8498,58,2.5519,0.531,0.9187,0
177,7.08,12.272,3.068,intro,0.153557,granular_texture,0.234726,0.086338,0.246731,0.432205,0.8425,58,2.5007,0.5236,1.1155,0
178,7.12,12.3413,3.0853,intro,0.15389,granular_texture,0.227637,0.107548,0.282187,0.382628,0.8367,59,2.46,0.5222,1.2346,0
179,7.16,12.4107,3.1027,intro,0.154225,granular_texture,0.220959,0.136722,0.279366,0.362952,0.8345,61,2.4448,0.5241,1.2255,0
180,7.2,12.48,3.12,intro,0.15456,granular_texture,0.21742,0.173936,0.24312,0.365524,0.835,62,2.4485,0.5327,1.1045,0
181,7.24,12.5493,3.1373,intro,0.154897,granular_texture,0.213651,0.213334,0.18429,0.388725,0.8379,64,2.4697,0.5417,0.9078,0
182,7.28,12.6187,3.1547,intro,0.155234,granular_texture,0.200533,0.238723,0.118875,0.44187,0.8444,65,2.5164,0.5342,0.689,0
183,7.32,12.688,3.172,intro,0.155573,granular_texture,0.187213,0.253291,0.07167,0.487827,0.8501,66,2.557,0.5227,0.5312,0
184,7.36,12.7573,3.1893,intro,0.155912,granular_texture,0.180805,0.263913,0.045419,0.509863,0.8529,66,2.5772,0.5184,0.4437,0
185,7.4,12.8267,3.2067,intro,0.156253,granular_texture,0.182047,0.271392,0.034681,0.511881,0.8533,67,2.5804,0.5225,0.4081,0
186,7.44,12.896,3.224,intro,0.156595,granular_texture,0.194081,0.280469,0.033906,0.491544,0.851,67,2.5647,0.5408,0.4058,0
187,7.48,12.9653,3.2413,intro,0.156938,granular_texture,0.217594,0.291812,0.036429,0.454166,0.8467,67,2.5344,0.5741,0.4147,0
188,7.52,13.0347,3.2587,intro,0.157281,granular_texture,0.247618,0.298051,0.040558,0.413772,0.842,68,2.5016,0.6138,0.4289,0
