frame,time_seconds,dominant_slot,tension_chords,glassy_arps,broken_beat,granular_texture
142,5.68,broken_beat,0.0,0.0,0.581818,0.418182
143,5.72,broken_beat,0.0,0.0,0.509091,0.490909
144,5.76,granular_texture,0.0,0.0,0.436364,0.563636
145,5.8,granular_texture,0.0,0.0,0.363636,0.636364
146,5.84,granular_texture,0.0,0.0,0.290909,0.709091
147,5.88,granular_texture,0.0,0.0,0.218182,0.781818
148,5.92,granular_texture,0.0,0.0,0.145455,0.854545
149,5.96,granular_texture,0.0,0.0,0.072727,0.927273
150,6.0,granular_texture,0.0,0.0,0.0,1.0
151,6.04,granular_texture,0.0,0.0,0.0,1.0
152,6.08,granular_texture,0.0,0.0,0.0,1.0
153,6.12,granular_texture,0.0,0.0,0.0,1.0
154,6.16,granular_texture,0.0,0.0,0.0,1.0
155,6.2,granular_texture,0.0,0.0,0.0,1.0
156,6.24,granular_texture,0.0,0.0,0.0,1.0
157,6.28,granular_texture,0.0,0.0,0.0,1.0
158,6.32,granular_texture,0.0,0.0,0.0,1.0
159,6.36,granular_texture,0.0,0.0,0.0,1.0
160,6.4,granular_texture,0.0,0.0,0.0,1.0
161,6.44,granular_texture,0.0,0.0,0.0,1.0
162,6.48,granular_texture,0.0,0.0,0.0,1.0
163,6.52,granular_texture,0.0,0.0,0.0,1.0
164,6.56,granular_texture,0.0,0.0,0.0,1.0
165,6.6,granular_texture,0.0,0.0,0.0,1.0
166,6.64,granular_texture,0.0,0.0,0.0,1.0
167,6.68,granular_texture,0.0,0.0,0.0,1.0
168,6.72,granular_texture,0.0,0.0,0.0,1.0
169,6.76,granular_texture,0.0,0.0,0.0,1.0
170,6.8,granular_texture,0.0,0.0,0.0,1.0
171,6.84,granular_texture,0.0,0.0,0.0,1.0
172,6.88,granular_texture,0.0,0.0,0.0,1.0
173,6.92,granular_texture,0.0,0.0,0.0,1.0
174,6.96,granular_texture,0.0,0.0,0.0,1.0
175,7.0,granular_texture,0.0,0.0,0.0,1.0
176,7.04,granular_texture,0.0,0.0,0.0,1.0
177,7.08,granular_texture,0.0,0.0,0.0,1.0
178,7.12,granular_texture,0.0,0.0,0.0,1.0
179,7.16,granular_texture,0.0,0.0,0.0,1.0
180,7.2,granular_texture,0.0,0.0,0.0,1.0
181,7.24,granular_texture,0.0,0.0,0.0,1.0
182,7.28,granular_texture,0.0,0.0,0.0,1.0
183,7.32,granular_texture,0.0,0.0,0.0,1.0
184,7.36,granular_texture,0.0,0.0,0.0,1.0
185,7.4,granular_texture,0.0,0.0,0.0,1.0
186,7.44,granular_texture,0.0,0.0,0.0,1.0
187,7.48,granular_texture,0.054545,0.0,0.0,0.945455
188,7.52,granular_texture,0.127273,0.0,0.0,0.872727
189,7.56,granular_texture,0.2,0.0,0.0,0.8
190,7.6,granular_texture,0.272727,0.0,0.0,0.727273
191,7.64,granular_texture,0.345455,0.0,0.0,0.654545
192,7.68,granular_texture,0.418182,0.0,0.0,0.581818
193,7.72,granular_texture,0.490909,0.0,0.0,0.509091
194,7.76,tension_chords,0.563636,0.0,0.0,0.436364
195,7.8,tension_chords,0.636364,0.0,0.0,0.363636
196,7.84,tension_chords,0.709091,0.0,0.0,0.290909
197,7.88,tension_chords,0.781818,0.0,0.0,0.218182
198,7.92,tension_chords,0.854545,0.0,0.0,0.145455
199,7.96,tension_chords,0.927273,0.0,0.0,0.072727
